step,amount,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest,CASH_IN,CASH_OUT,DEBIT,PAYMENT,TRANSFER,isFlaggedFraud,isFraud
131,197248.67,0.0,0.0,442946.23,640194.9,0,1,0,0,0,0,0
135,37739.22,9091.0,0.0,516848.54,554587.76,0,1,0,0,0,0,0
134,103594.74,0.0,0.0,10535333.78,10638928.52,0,1,0,0,0,0,0
179,1414.12,5901.17,4487.04,0.0,0.0,0,0,0,1,0,0,0
280,3100.37,13520.7,10420.33,0.0,0.0,0,0,0,1,0,0,0
166,4723.86,56896.0,52172.14,0.0,0.0,0,0,0,1,0,0,0
382,2135.91,29875.0,27739.09,0.0,0.0,0,0,0,1,0,0,0
190,7656.63,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0
230,2257.64,0.0,0.0,2032549.37,2034807.01,0,1,0,0,0,0,0
9,16729.25,22.0,0.0,0.0,0.0,0,0,0,1,0,0,0
163,202124.14,0.0,0.0,4342369.28,4544493.42,0,1,0,0,0,0,0
359,8219.25,82875.0,74655.75,0.0,0.0,0,0,0,1,0,0,0
160,2922.04,33.0,0.0,0.0,0.0,0,0,0,1,0,0,0
36,524536.59,102.0,0.0,0.0,556911.83,0,1,0,0,0,0,0
305,45368.72,250.0,0.0,0.0,0.0,0,0,0,1,0,0,0
159,16292.85,1033804.01,1050096.86,85744.43,69451.59,1,0,0,0,0,0,0
426,5222.95,12636.0,7413.05,1691939.9,1697162.85,0,1,0,0,0,0,0
403,41788.1,0.0,0.0,5810544.01,5852332.11,0,1,0,0,0,0,0
300,192955.93,4718447.54,4911403.47,752033.7,559077.77,1,0,0,0,0,0,0
327,27897.84,47651.13,19753.28,0.0,0.0,0,0,0,1,0,0,0
402,173964.47,30258.0,204222.47,250874.24,76909.77,1,0,0,0,0,0,0
474,240187.99,185136.0,0.0,120782.81,360970.8,0,1,0,0,0,0,0
16,440636.28,95912.0,536548.28,45125.93,277612.43,1,0,0,0,0,0,0
374,895.02,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0
595,867284.26,1279.0,0.0,191885.71,1059169.96,0,0,0,0,1,0,0
204,18390.75,179.0,0.0,0.0,0.0,0,0,0,1,0,0,0
9,6302.51,301969.0,295666.49,0.0,0.0,0,0,0,1,0,0,0
354,143269.68,0.0,0.0,1409212.3,1552481.98,0,1,0,0,0,0,0
393,93931.23,11310481.82,11404413.06,5919823.17,5825891.93,1,0,0,0,0,0,0
353,202974.24,0.0,0.0,617943.67,820917.91,0,1,0,0,0,0,0
253,79299.31,1107039.0,1186338.31,569015.11,489715.8,1,0,0,0,0,0,0
130,54608.32,0.0,0.0,120712.36,175320.68,0,1,0,0,0,0,0
326,328559.87,39605.0,368164.87,0.0,0.0,1,0,0,0,0,0,0
275,215007.1,369.0,215376.1,225999.34,10992.24,1,0,0,0,0,0,0
167,4176.48,187808.0,183631.52,0.0,0.0,0,0,0,1,0,0,0
136,358298.29,0.0,0.0,5217781.41,5576079.7,0,1,0,0,0,0,0
184,364132.51,297332.0,0.0,1903705.43,2267837.95,0,0,0,0,1,0,0
226,63665.78,2818034.9,2881700.67,359716.86,481154.54,1,0,0,0,0,0,0
397,151596.58,20179.0,0.0,107835.23,259431.81,0,1,0,0,0,0,0
356,222121.18,0.0,0.0,1576409.0,1798530.18,0,1,0,0,0,0,0
131,13885.53,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0
187,8208.97,0.0,0.0,179519.02,187727.99,0,1,0,0,0,0,0
305,787992.42,0.0,0.0,1680613.15,2468605.56,0,0,0,0,1,0,0
182,328186.11,172460.84,500646.94,163380.32,0.0,1,0,0,0,0,0,0
323,7891.73,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0
13,5054.28,805.0,0.0,0.0,0.0,0,0,0,1,0,0,0
350,188420.94,11804120.9,11992541.84,3352600.15,3164179.21,1,0,0,0,0,0,0
156,477672.72,54312.0,531984.72,209977.63,0.0,1,0,0,0,0,0,0
178,137571.58,10419457.08,10557028.65,192531.57,54960.0,1,0,0,0,0,0,0
302,233592.89,49526.0,0.0,989584.18,1223177.07,0,1,0,0,0,0,0
133,239510.13,100617.0,0.0,392927.11,632437.23,0,1,0,0,0,0,0
305,60094.07,0.0,0.0,628372.04,688466.11,0,1,0,0,0,0,0
154,110155.44,10217.0,0.0,12856.07,123011.51,0,1,0,0,0,0,0
394,55392.04,200235.0,144842.96,142384.29,197776.34,0,1,0,0,0,0,0
185,263321.37,6737797.02,7001118.38,1588281.8,1324960.43,1,0,0,0,0,0,0
262,4931.52,137675.0,132743.48,0.0,0.0,0,0,0,1,0,0,0
378,268189.14,221608.0,0.0,344004.57,612193.71,0,1,0,0,0,0,0
375,163436.11,0.0,0.0,4699026.69,4862462.81,0,1,0,0,0,0,0
235,2997.38,0.0,0.0,215734.25,218731.63,0,0,1,0,0,0,0
284,181296.18,18121.0,0.0,0.0,181296.18,0,1,0,0,0,0,0
405,4262.82,5251.0,988.18,0.0,0.0,0,0,0,1,0,0,0
514,366656.37,923897.0,557240.63,489978.82,856635.19,0,1,0,0,0,0,0
255,271255.11,0.0,0.0,1210775.08,1482030.19,0,0,0,0,1,0,0
345,224267.34,0.0,0.0,7299874.85,7524142.19,0,0,0,0,1,0,0
183,311401.11,6619.0,0.0,2595341.84,2723141.14,0,0,0,0,1,0,0
688,30560.6,715147.98,684587.38,0.0,0.0,0,0,0,1,0,0,0
14,22284.62,32380.0,54664.62,2422.56,51450.42,1,0,0,0,0,0,0
96,2822.25,127499.0,124676.75,0.0,0.0,0,0,0,1,0,0,0
11,395590.98,0.0,0.0,974134.8,1369725.77,0,0,0,0,1,0,0
136,155861.25,30522.0,186383.25,61784.0,0.0,1,0,0,0,0,0,0
332,3303.56,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0
144,4245.54,10114.0,5868.46,0.0,0.0,0,0,0,1,0,0,0
203,496850.43,9909.0,0.0,62903.25,559753.67,0,0,0,0,1,0,0
252,232361.82,20463264.72,20695626.54,1294299.97,1061938.15,1,0,0,0,0,0,0
619,394345.82,9952.0,0.0,4171192.75,4565538.58,0,0,0,0,1,0,0
229,26165.12,100929.0,74763.88,0.0,0.0,0,0,0,1,0,0,0
179,24271.9,13771.0,0.0,0.0,0.0,0,0,0,1,0,0,0
42,328563.76,0.0,0.0,414456.88,743020.64,0,1,0,0,0,0,0
514,42242.36,189320.45,147078.08,661494.43,703736.79,0,1,0,0,0,0,0
19,45527.71,0.0,0.0,1547047.05,2156294.92,0,1,0,0,0,0,0
353,19077.29,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0
